.0,13.0
0.0,-1.0
0.0,-3.0
0.0,1.0
0.0,13.0
0.0,15.0
0.0,17.0
0.0,3.0
0.0,5.0
0.0,7.0
0.0,9.0
10.0,-1.0
10.0,-3.0
10.0,-5.0
10.0,1.0
10.0,11.0
10.0,13.0
10.0,15.0
10.0,17.0
10.0,3.0
10.0,5.0
10.0,7.0
10.0,9.0
100.0,-1.0
100.0,-3.0
100.0,-5.0
100.0,1.0
100.0,11.0
100.0,17.0
100.0,3.0
100.0,5.0
100.0,7.0
100.0,9.0
102.0,-1.0
102.0,-3.0
102.0,-5.0
102.0,1.0
102.0,11.0
102.0,13.0
102.0,17.0
102.0,3.0
102.0,5.0
102.0,7.0
104.0,-1.0
104.0,-3.0
104.0,-5.0
104.0,1.0
104.0,11.0
104.0,13.0
104.0,17.0
104.0,3.0
104.0,5.0
104.0,7.0
104.0,9.0
106.0,-1.0
106.0,-3.0
106.0,-5.0
106.0,1.0
106.0,11.0
106.0,13.0
106.0,15.0
106.0,17.0
106.0,3.0
106.0,5.0
106.0,7.0
106.0,9.0
108.0,-1.0
108.0,-3.0
108.0,-5.0
108.0,1.0
108.0,11.0
108.0,15.0
108.0,3.0
108.0,5.0
108.0,7.0
110.0,-1.0
110.0,-3.0
110.0,-5.0
110.0,1.0
110.0,11.0
110.0,13.0
110.0,17.0
110.0,3.0
110.0,5.0
110.0,7.0
112.0,-1.0
112.0,-3.0
112.0,-5.0
112.0,1.0
112.0,11.0
112.0,13.0
112.0,15.0
112.0,3.0
112.0,5.0
112.0,7.0
114.0,-1.0
114.0,-3.0
114.0,-5.0
114.0,1.0
114.0,11.0
114.0,13.0
114.0,3.0
114.0,5.0
114.0,7.0
116.0,-1.0
116.0,-3.0
116.0,-5.0
116.0,1.0
116.0,13.0
116.0,15.0
116.0,17.0
116.0,3.0
116.0,5.0
116.0,7.0
118.0,-1.0
118.0,-3.0
118.0,-5.0
118.0,1.0
118.0,11.0
118.0,13.0
118.0,17.0
118.0,3.0
118.0,5.0
118.0,7.0
118.0,9.0
12.0,-1.0
12.0,-3.0
12.0,-5.0
12.0,1.0
12.0,11.0
12.0,13.0
12.0,15.0
12.0,17.0
12.0,3.0
12.0,5.0
12.0,7.0
120.0,-1.0
120.0,-3.0
120.0,-5.0
120.0,1.0
120.0,11.0
120.0,15.0
120.0,3.0
120.0,5.0
120.0,7.0
120.0,9.0
122.0,-1.0
122.0,-3.0
122.0,-5.0
122.0,1.0
122.0,11.0
122.0,13.0
122.0,15.0
122.0,17.0
122.0,3.0
122.0,5.0
124.0,-1.0
124.0,-3.0
124.0,-5.0
124.0,1.0
124.0,11.0
124.0,17.0
124.0,3.0
124.0,5.0
124.0,7.0
126.0,-1.0
126.0,-3.0
126.0,-5.0
126.0,1.0
126.0,11.0
126.0,13.0
126.0,15.0
126.0,17.0
126.0,3.0
126.0,5.0
126.0,7.0
126.0,9.0
128.0,-1.0
128.0,-3.0
128.0,-5.0
128.0,1.0
128.0,11.0
128.0,13.0
128.0,17.0
128.0,3.0
128.0,5.0
128.0,7.0
128.0,9.0
130.0,-1.0
130.0,-3.0
130.0,-5.0
130.0,1.0
130.0,11.0
130.0,15.0
130.0,3.0
130.0,5.0
130.0,7.0
132.0,-1.0
132.0,-3.0
132.0,-5.0
132.0,1.0
132.0,11.0
132.0,13.0
132.0,3.0
132.0,5.0
132.0,7.0
